species.code;species.name;germination.rate;seed.survival
BEMA;beta_macrocarpa;0,38;0,43
CETE;centaurium_tenuiflorum;0,53;0,1
CHFU;chamaemelum_fuscatum;0,8;0,38
CHMI;chamaemelum_mixtum;0,76;0,32
HOMA;hordeum_marinum;0,94;0,25
LEMA;Leontodon_maroccanus;0,89;0,33
LYTR;lythrum_tribracteatum;0,62;0,51
MEEL;melilotus_elegans;0,59;0,6
MESU;melilotus_sulcatus;0,77;0,63
PAIN;parapholis_incurva;0,33;0,6
PLCO;plantago_coronopus;0,84;0,57
POMA;polypogon_maritimus;0,85;0,46
POMO;polypogon_monspeliensis;0,91;0,49
PUPA;pulicaria_paludosa;0,84;0,55
SASO;salsola_soda;0,52;0,3
SCLA;scorzonera_laciniata;0,69;0,41
SOAS;sonchus_asper;0,6;0,29
SPRU;spergularia_rubra;0,44;0,41
SUSP;suaeda_splendens;0,61;0,58
